|W|	SIw	P	R	F1	Poids(w,t)	Classifieur	TrainSetType	Category
100	chi	0.90625	0.9354838709677419	0.9206349206349206	logtfSIw * chi	KNN	part-queries-with-paragraph_text	p2
100	chi	0.8421052631578947	0.5161290322580645	0.6399999999999999	logtfSIw * chi	SVM	part-queries-with-paragraph_text	p2
100	ngl	0.8636363636363636	0.6129032258064516	0.7169811320754716	logtfSIw * ngl	J48	part-queries-with-paragraph_text	p2
100	ngl	0.8181818181818182	0.2903225806451613	0.4285714285714286	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	p2
100	ngl	0.7567567567567568	0.9032258064516129	0.823529411764706	logtfSIw * ngl	NB	part-queries-with-paragraph_text	p2
100	ngl	0.9	0.8709677419354839	0.8852459016393444	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	p2
100	ngl	0.85	0.5483870967741935	0.6666666666666665	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	p2
120	rf	0.9444444444444444	0.5483870967741935	0.6938775510204082	logtfSIw * rf	J48	part-queries-with-paragraph_text	p2
120	rf	1.0	0.03225806451612903	0.0625	logtfSIw * rf	NBM	part-queries-with-paragraph_text	p2
120	rf	0.8666666666666667	0.8387096774193549	0.8524590163934426	logtfSIw * rf	NB	part-queries-with-paragraph_text	p2
120	rf	0.9032258064516129	0.9032258064516129	0.9032258064516129	logtfSIw * rf	KNN	part-queries-with-paragraph_text	p2
120	rf	1.0	0.0967741935483871	0.17647058823529413	logtfSIw * rf	SVM	part-queries-with-paragraph_text	p2
120	chi	0.8888888888888888	0.7741935483870968	0.8275862068965517	logtfSIw * chi	J48	part-queries-with-paragraph_text	p2
120	chi	0.7727272727272727	0.5483870967741935	0.6415094339622641	logtfSIw * chi	NBM	part-queries-with-paragraph_text	p2
120	chi	0.7368421052631579	0.9032258064516129	0.8115942028985507	logtfSIw * chi	NB	part-queries-with-paragraph_text	p2
120	chi	0.9	0.8709677419354839	0.8852459016393444	logtfSIw * chi	KNN	part-queries-with-paragraph_text	p2
120	chi	0.8571428571428571	0.5806451612903226	0.6923076923076923	logtfSIw * chi	SVM	part-queries-with-paragraph_text	p2
120	ngl	0.8260869565217391	0.6129032258064516	0.7037037037037037	logtfSIw * ngl	J48	part-queries-with-paragraph_text	p2
120	ngl	0.8181818181818182	0.2903225806451613	0.4285714285714286	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	p2
120	ngl	0.7631578947368421	0.9354838709677419	0.8405797101449276	logtfSIw * ngl	NB	part-queries-with-paragraph_text	p2
120	ngl	0.9285714285714286	0.8387096774193549	0.8813559322033899	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	p2
120	ngl	0.8571428571428571	0.5806451612903226	0.6923076923076923	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	p2
130	rf	0.9444444444444444	0.5483870967741935	0.6938775510204082	logtfSIw * rf	J48	part-queries-with-paragraph_text	p2
130	rf	1.0	0.03225806451612903	0.0625	logtfSIw * rf	NBM	part-queries-with-paragraph_text	p2
130	rf	0.8666666666666667	0.8387096774193549	0.8524590163934426	logtfSIw * rf	NB	part-queries-with-paragraph_text	p2
