|W|	SIw	P	R	F1	Poids(w,t)	Classifieur	TrainSetType	Category
90	ngl	0.8604651162790697	0.6851851851851852	0.7628865979381443	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pIII
90	ngl	0.9411764705882353	0.2962962962962963	0.45070422535211263	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pIII
90	ngl	0.6938775510204082	0.6296296296296297	0.6601941747572815	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pIII
90	ngl	0.8695652173913043	0.7407407407407407	0.7999999999999999	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pIII
90	ngl	0.8181818181818182	0.5	0.6206896551724137	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pIII
100	rf	0.8571428571428571	0.2222222222222222	0.35294117647058826	logtfSIw * rf	J48	part-queries-with-paragraph_text	pIII
100	rf	1.0	0.12962962962962962	0.22950819672131148	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pIII
100	rf	0.8928571428571429	0.46296296296296297	0.6097560975609756	logtfSIw * rf	NB	part-queries-with-paragraph_text	pIII
100	rf	0.8780487804878049	0.6666666666666666	0.7578947368421053	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pIII
100	rf	1.0	0.2037037037037037	0.3384615384615384	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pIII
100	chi	0.851063829787234	0.7407407407407407	0.7920792079207921	logtfSIw * chi	J48	part-queries-with-paragraph_text	pIII
100	chi	0.8235294117647058	0.5185185185185185	0.6363636363636364	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pIII
100	chi	0.7169811320754716	0.7037037037037037	0.7102803738317758	logtfSIw * chi	NB	part-queries-with-paragraph_text	pIII
100	chi	0.8235294117647058	0.7777777777777778	0.7999999999999999	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pIII
100	chi	0.8333333333333334	0.5555555555555556	0.6666666666666667	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pIII
100	ngl	0.8260869565217391	0.7037037037037037	0.76	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pIII
100	ngl	0.9411764705882353	0.2962962962962963	0.45070422535211263	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pIII
100	ngl	0.7058823529411765	0.6666666666666666	0.6857142857142857	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pIII
100	ngl	0.8695652173913043	0.7407407407407407	0.7999999999999999	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pIII
100	ngl	0.8181818181818182	0.5	0.6206896551724137	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pIII
120	rf	0.8571428571428571	0.2222222222222222	0.35294117647058826	logtfSIw * rf	J48	part-queries-with-paragraph_text	pIII
120	rf	1.0	0.16666666666666666	0.2857142857142857	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pIII
120	rf	0.8928571428571429	0.46296296296296297	0.6097560975609756	logtfSIw * rf	NB	part-queries-with-paragraph_text	pIII
120	rf	0.8888888888888888	0.7407407407407407	0.808080808080808	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pIII
120	rf	1.0	0.2037037037037037	0.3384615384615384	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pIII
120	chi	0.8260869565217391	0.7037037037037037	0.76	logtfSIw * chi	J48	part-queries-with-paragraph_text	pIII
120	chi	0.8285714285714286	0.5370370370370371	0.651685393258427	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pIII
120	chi	0.7450980392156863	0.7037037037037037	0.7238095238095239	logtfSIw * chi	NB	part-queries-with-paragraph_text	pIII
120	chi	0.8269230769230769	0.7962962962962963	0.8113207547169811	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pIII
120	chi	0.8285714285714286	0.5370370370370371	0.651685393258427	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pIII
120	ngl	0.8409090909090909	0.6851851851851852	0.7551020408163266	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pIII
120	ngl	0.8	0.2962962962962963	0.43243243243243246	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pIII
120	ngl	0.7222222222222222	0.7222222222222222	0.7222222222222222	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pIII
120	ngl	0.8541666666666666	0.7592592592592593	0.8039215686274509	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pIII
120	ngl	0.8484848484848485	0.5185185185185185	0.6436781609195402	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pIII
130	rf	0.875	0.25925925925925924	0.39999999999999997	logtfSIw * rf	J48	part-queries-with-paragraph_text	pIII
130	rf	1.0	0.16666666666666666	0.2857142857142857	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pIII
130	rf	0.9	0.5	0.6428571428571429	logtfSIw * rf	NB	part-queries-with-paragraph_text	pIII
130	rf	0.8888888888888888	0.7407407407407407	0.808080808080808	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pIII
130	rf	1.0	0.2222222222222222	0.3636363636363636	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pIII
130	chi	0.8333333333333334	0.7407407407407407	0.7843137254901961	logtfSIw * chi	J48	part-queries-with-paragraph_text	pIII
